"Timestamp","Barometric Pressure Hecto Pascals","Wind direction minimum Degrees","Wind direction average Degrees","Wind direction maximum Degrees","Wind speed minimum m/s","Wind speed average m/s","Wind speed maximum m/s","Air temperature Celsius","Internal temperature Celsius","Relative humidity  % RH","Rain accumulation  Millimeters","Rain duration Hours","Rain intensity mm/h","Hail accumulation Count","Hail duration ","Hail intensity  -","Rain peak intensity mm/h","Hail peak intensity ","Water level Meters","Solar radiation W/m^2","Heating temperature Celsius","Heating voltage Volts","Supply voltage Volts","3.5V ref. voltage Volts"
1711944143000,1020.3,126,129,135,3.7,4,4.4,23.3,23.3,64,343.83,4.513888888888889,0,0,30,0,136.8,1,-0.03206555151515178,-0.00397278,0,0,13.2,3.623
1711944444000,1020.5,119,121,124,3.5,3.8,3.9,23.2,23.2,62.2,343.83,4.513888888888889,0,0,30,0,136.8,1,-0.02500926060606079,-0.004466749999999999,0,0,13.2,3.623
1711944744000,1020.4,125,130,131,4,4,4.1,23.2,23.2,61.1,343.83,4.513888888888889,0,0,30,0,136.8,1,-0.008817648484849006,-0.00511837,0,0,13.2,3.623
1711945045000,1020.4,121,127,132,3.9,4.2,4.6,23.2,23.2,63.3,343.83,4.513888888888889,0,0,30,0,136.8,1,0.004249212121212098,-0.0046244,0,0,13.2,3.623
1711945346000,1020.4,125,127,131,5.4,5.6,5.8,23.2,23.2,63.4,343.83,4.513888888888889,0,0,30,0,136.8,1,0.010452169696969493,-0.0046244,0,0,13.2,3.624
1711945647000,1020.5,132,135,136,5.4,5.7,5.8,23.3,23.3,63.1,343.83,4.513888888888889,0,0,30,0,136.8,1,0.02730783030303008,-0.004466749999999999,0,0,13.2,3.623
1711945948000,1020.5,136,152,168,2.4,3.7,4.3,23.3,23.3,64.1,343.83,4.513888888888889,0,0,30,0,136.8,1,0.033417696969696875,-0.00300586,0,0,13.2,3.623
1711946250000,1020.4,128,130,132,5.7,5.8,6.1,23.3,23.3,66.4,343.83,4.513888888888889,0,0,30,0,136.8,1,0.04241338181818155,-0.00381513,0,0,13.2,3.623
1711946551000,1020.6,136,144,153,2.4,4.3,4.8,23.2,23.2,66.5,343.83,4.513888888888889,0,0,30,0,136.8,1,0.04264921212121209,-0.00414094,0,0,13.2,3.624
1711946851000,1020.7,119,139,150,2.3,2.6,2.8,23.3,23.3,68,343.83,4.513888888888889,0,0,30,0,136.8,1,0.05784785454545438,-0.00429859,0,0,13.2,3.624
